condition,method,mean,std,se,ci_low,ci_high,gain_vs_plain_percent,eta,beta,rank,grid_size,elapsed_seconds
ordered,plain,0.17189002502709627,0.015657735126778125,0.003914433781694531,0.1635466069219814,0.18023344313221115,0.0,0.1,0.0,4,3,28.614830399999846
ordered,write_trace,0.16978262923657894,0.01598643412305211,0.003996608530763028,0.16126405979990557,0.1783011986732523,1.2260140111010667,0.05,3.0,2,36,86.54152609999983
ordered,dqd,0.16737952362746,0.01471105534851043,0.0036777638371276074,0.15954055556813984,0.17521849168678016,2.624062332252989,0.02,10.0,1,36,87.91509020000012
ordered,full_query_trace,0.16729323379695415,0.01481372367681801,0.0037034309192045026,0.15939955764720537,0.17518690994670294,2.6742629360938723,0.02,10.0,4,12,47.64492659999996
shuffled,plain,0.17189002502709627,0.015657735126778125,0.003914433781694531,0.1635466069219814,0.18023344313221115,0.0,0.1,0.0,4,3,27.720282899999802
shuffled,write_trace,0.16978262923657894,0.01598643412305211,0.003996608530763028,0.16126405979990557,0.1783011986732523,1.2260140111010667,0.05,3.0,2,36,87.17497790000016
shuffled,dqd,0.16766089666634798,0.014786238737748668,0.003696559684437167,0.15978186620682147,0.1755399271258745,2.460368692180726,0.02,10.0,1,36,88.50411829999939
shuffled,full_query_trace,0.16736763808876276,0.014865999047465717,0.003716499761866429,0.15944610636026124,0.17528916981726428,2.63097695030332,0.02,10.0,4,12,48.51978809999855
