condition,method,mean,std,se,ci_low,ci_high,gain_vs_plain_percent,eta,beta,rank,grid_size,elapsed_seconds
ordered,plain,0.19084053486585617,0.004388024302302582,0.0031028017401695247,0.15141570069870441,0.23026536903300793,0.0,0.1,0.0,4,2,2.4831994000014674
ordered,write_trace,0.17740025371313095,0.0046063239041647585,0.003257162868976593,0.13601407544000982,0.21878643198625208,7.042676317257513,0.1,1.0,2,12,6.580699399999503
ordered,dqd,0.17419854551553726,0.01236490543886843,0.008743308484554289,0.06310427783700663,0.2852928131940679,8.720364026445818,0.05,10.0,4,12,6.67690709999988
ordered,full_query_trace,0.16929364204406738,0.008580255419847808,0.006067156791687012,0.09220310568085772,0.24638417840727705,11.29052212986844,0.05,10.0,4,4,3.63419310000063
