suite,task,condition,method,comparator,mean_difference,ci_low,ci_high,t_stat,p_value,wins,ties,n
main,synthetic_2d,concentrated,dqd,plain,-0.2265001218765974,-0.2339701690938559,-0.2190300746593389,-64.62791570147287,9.121238663133633e-20,16,0,16
main,synthetic_2d,concentrated,dqd,write_diag,-0.22658279351890087,-0.2341156042443178,-0.21904998279348395,-64.11282718784813,1.0280285217529145e-19,16,0,16
main,synthetic_2d,concentrated,dqd,write_trace,-0.2307224813848734,-0.2400964743514593,-0.22134848841828747,-52.46145691073787,2.0562586334640954e-18,16,0,16
main,synthetic_2d,concentrated,dqd,full_query_trace,-0.0006649326533079147,-0.004186644470955226,0.002856779164339397,-0.4024379265273104,0.6930384674825729,9,0,16
main,synthetic_2d,concentrated,dqd,query_moment_reference,0.00023612193763256073,-0.003169502285479476,0.0036417461607445973,0.14777966202143483,0.8844848246865626,10,0,16
main,synthetic_2d,uniform,dqd,plain,0.0026065893471240997,0.0019430290524292322,0.0032701496418189673,8.372733757287612,4.892754598327465e-07,0,0,16
main,synthetic_2d,uniform,dqd,write_diag,0.00253291055560112,0.001859480773357686,0.0032063403378445538,8.016828472737267,8.390860613235693e-07,0,0,16
main,synthetic_2d,uniform,dqd,write_trace,-0.0002098679542541504,-0.000836859766265773,0.0004171238577574722,-0.7134430580318035,0.48652445463918637,8,0,16
main,synthetic_2d,uniform,dqd,full_query_trace,0.001819957047700882,0.0009499593492195742,0.00268995474618219,4.458801016406225,0.00045956049557839703,1,0,16
main,synthetic_2d,uniform,dqd,query_moment_reference,0.0028480030596256256,0.0020906012940189417,0.0036054048252323096,8.014735511381055,8.417905392878413e-07,0,0,16
main,word,observed,dqd,plain,-0.14403577521443367,-0.16169268404403764,-0.1263788663848297,-17.387244312569493,2.3736097439803197e-11,16,0,16
main,word,observed,dqd,write_diag,-0.028341498225927353,-0.039941550793787986,-0.01674144565806672,-5.207603427719999,0.00010619805721617132,15,0,16
main,word,observed,dqd,write_trace,-0.01438099518418312,-0.021640866300219892,-0.007121124068146348,-4.222163886946704,0.0007390803376525406,14,0,16
main,word,observed,dqd,full_query_trace,0.013433221727609634,0.007144888331197539,0.01972155512402173,4.553230966260112,0.0003807431786324423,1,0,16
main,word,observed,dqd,query_moment_reference,0.013275537639856339,0.006999365371783729,0.019551709907928948,4.5085025491528015,0.0004161864852395403,1,0,16
main,word,uniform,dqd,plain,0.0036000870168209076,0.002823548967298857,0.004376625066342958,9.881555502270395,5.843645840663197e-08,0,0,16
main,word,uniform,dqd,write_diag,0.0009424313902854919,0.0006002184851593217,0.0012846442954116623,5.8698691032830865,3.0808406575295946e-05,0,0,16
main,word,uniform,dqd,write_trace,0.0002554468810558319,-0.00013778734473501793,0.0006486811068466818,1.3846000750468466,0.18642654931034447,7,0,16
main,word,uniform,dqd,full_query_trace,0.00034689903259277344,0.00010751852284669286,0.000586279542338854,3.0887969373911903,0.0074865832220342675,3,0,16
main,word,uniform,dqd,query_moment_reference,0.00041138380765914917,0.00017495546012990637,0.000647812155188392,3.708708532834052,0.002101275510145013,3,0,16
main,module,observed,dqd,plain,-0.28670181706547737,-0.2925136683501138,-0.28088996578084097,-105.14557716069878,6.256396663870213e-23,16,0,16
main,module,observed,dqd,write_diag,-0.12769516929984093,-0.14871646124915194,-0.10667387735052991,-12.947625256838098,1.5195249156366634e-09,16,0,16
main,module,observed,dqd,write_trace,-0.03905733674764633,-0.046034406263506904,-0.03208026723178576,-11.931763396119761,4.672938295829985e-09,16,0,16
main,module,observed,dqd,full_query_trace,0.0021643266081809998,-0.0017845637627396625,0.006113216979101662,1.168215000198603,0.26095291527582765,8,0,16
main,module,observed,dqd,query_moment_reference,0.0018152520060539246,-0.002087582585202193,0.005718086597310042,0.9913610154136768,0.33723281581190223,9,0,16
main,module,uniform,dqd,plain,0.002230539917945862,0.0014569582027039278,0.003004121633187796,6.145806190585513,1.8721204606006626e-05,1,0,16
main,module,uniform,dqd,write_diag,0.0009051673114299774,0.0005192804226480687,0.0012910542002118862,4.999699421487653,0.00015846178148877402,1,0,16
main,module,uniform,dqd,write_trace,3.4030526876449585e-05,-0.0001181240824901933,0.00018618513624309247,0.4767147794462718,0.6404356070195549,8,0,16
main,module,uniform,dqd,full_query_trace,0.000552251935005188,0.00023172441233499313,0.0008727794576753828,3.6723746095034486,0.002263636518526108,4,0,16
main,module,uniform,dqd,query_moment_reference,0.0005870833992958069,0.0002288270137824811,0.0009453397848091327,3.4928578951677194,0.0032711216574925137,4,0,16
