suite,task,condition,method,mean,std,se,ci_low,ci_high,gain_vs_plain_percent,eta,beta,rank,grid_size,elapsed_seconds
main,word,uniform,weighted_linear_reference,0.7982250958183618,0.003515440831022237,0.0008788602077555593,0.796351849627931,0.8000983420087925,0.5683195279684665,0.0,0.0,4,1,1.3607726097106934
main,module,observed,plain,0.8923332318663597,0.021879083369828828,0.005469770842457207,0.8806746912898906,0.9039917724428288,0.0,0.02,0.0,4,5,14.927191734313965
main,module,observed,write_diag,0.7333265841007233,0.05529541058801952,0.01382385264700488,0.7038617396583857,0.7627914285430608,17.81920050574224,0.02,10.0,4,25,18.8586688041687
main,module,observed,write_trace,0.6446887515485287,0.02820683149289856,0.00705170787322464,0.6296583920067269,0.6597191110903304,27.752466396423475,0.02,10.0,2,75,46.53248357772827
main,module,observed,dqd,0.6056314148008823,0.019044295709166097,0.004761073927291524,0.5954834259421825,0.6157794036595822,32.12945644373528,0.02,10.0,2,75,46.07339644432068
main,module,observed,full_query_trace,0.6034670881927013,0.017103272124026826,0.0042758180310067066,0.5943533977936177,0.612580778591785,32.37200334559773,0.02,10.0,4,25,31.333450078964233
main,module,observed,query_moment_reference,0.6038161627948284,0.017337890591795285,0.004334472647948821,0.5945774530391186,0.6130548725505383,32.33288403571874,0.02,10.0,4,25,18.81082844734192
main,module,observed,weighted_linear_reference,0.45607509234480176,0.006151647566479244,0.001537911891619811,0.45279711074229845,0.45935307394730507,48.88959908050294,0.0,0.0,4,1,0.09063434600830078
main,module,uniform,plain,0.7315189242362976,0.001879964242523239,0.00046999106063080973,0.7305171620036991,0.7325206864688961,0.0,0.05,0.0,4,5,20.71907877922058
main,module,uniform,write_diag,0.7328442968428135,0.0016766101537294387,0.0004191525384323597,0.7319508943552518,0.7337376993303751,-0.18118090490954383,0.02,1.0,4,25,21.662193059921265
main,module,uniform,write_trace,0.733715433627367,0.0019516252415825125,0.0004879063103956281,0.7326754859437987,0.7347553813109353,-0.300266926568244,0.02,1.0,8,75,47.31045079231262
main,module,uniform,dqd,0.7337494641542435,0.0019585094272117813,0.0004896273568029453,0.7327058481470924,0.7347930801613946,-0.3049189630021582,0.02,1.0,8,75,47.51308798789978
main,module,uniform,full_query_trace,0.7331972122192383,0.0017250058171301337,0.0004312514542825334,0.7322780215029859,0.7341164029354906,-0.2294250944625662,0.02,1.0,4,25,26.354739904403687
main,module,uniform,query_moment_reference,0.7331623807549477,0.0016435901990062044,0.0004108975497515511,0.7322865733592583,0.734038188150637,-0.22466356839172902,0.02,1.0,4,25,16.28003239631653
main,module,uniform,weighted_linear_reference,0.72936184740226,0.0017280440541807957,0.0004320110135451989,0.7284410377237625,0.7302826570807575,0.2948764225463655,0.0,0.0,4,1,0.07007408142089844
