suite,task,condition,method,seed,score,eta,beta,rank
main,synthetic_2d,concentrated,full_query_trace,10013,0.6003416180610657,0.02,30.0,4
main,synthetic_2d,concentrated,full_query_trace,10014,0.5012441873550415,0.02,30.0,4
main,synthetic_2d,concentrated,full_query_trace,10015,0.5229718089103699,0.02,30.0,4
main,synthetic_2d,concentrated,full_query_trace,10016,0.47883474826812744,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10001,0.47558340430259705,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10002,0.5233421325683594,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10003,0.5149236917495728,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10004,0.45193788409233093,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10005,0.60892254114151,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10006,0.4934757649898529,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10007,0.4599747061729431,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10008,0.4464375674724579,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10009,0.4575639069080353,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10010,0.5187708139419556,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10011,0.4887804388999939,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10012,0.5251643657684326,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10013,0.5907881259918213,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10014,0.5056481957435608,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10015,0.5210085511207581,0.02,30.0,4
main,synthetic_2d,concentrated,query_moment_reference,10016,0.47813543677330017,0.02,30.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10001,0.08958397304005253,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10002,0.11064554401863239,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10003,0.0908808826062046,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10004,0.0909379252431814,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10005,0.10805254212127752,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10006,0.11158514917555719,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10007,0.10213303342975533,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10008,0.10137301943857226,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10009,0.09727545239807237,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10010,0.10381876848024289,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10011,0.08483937650864325,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10012,0.09148031586407739,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10013,0.09083957271601716,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10014,0.08868015073580439,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10015,0.10779335038927991,0.0,0.0,4
main,synthetic_2d,concentrated,weighted_linear_reference,10016,0.09100120749932084,0.0,0.0,4
main,synthetic_2d,uniform,plain,10001,0.7150731682777405,0.1,0.0,4
main,synthetic_2d,uniform,plain,10002,0.7173051834106445,0.1,0.0,4
main,synthetic_2d,uniform,plain,10003,0.7200062870979309,0.1,0.0,4
main,synthetic_2d,uniform,plain,10004,0.7202522158622742,0.1,0.0,4
main,synthetic_2d,uniform,plain,10005,0.7308423519134521,0.1,0.0,4
main,synthetic_2d,uniform,plain,10006,0.7199834585189819,0.1,0.0,4
main,synthetic_2d,uniform,plain,10007,0.7179770469665527,0.1,0.0,4
main,synthetic_2d,uniform,plain,10008,0.7116496562957764,0.1,0.0,4
main,synthetic_2d,uniform,plain,10009,0.7255104184150696,0.1,0.0,4
main,synthetic_2d,uniform,plain,10010,0.7239681482315063,0.1,0.0,4
main,synthetic_2d,uniform,plain,10011,0.7235631942749023,0.1,0.0,4
