suite,task,condition,method,comparator,mean_difference,ci_low,ci_high,t_stat,p_value,wins,ties,n
ablation,synthetic_2d,concentrated,dqd_r1,plain,-0.1559906005859375,-0.17923986205532844,-0.13274133911654656,-14.300931458324403,3.8006089132411134e-10,16,0,16
ablation,synthetic_2d,concentrated,dqd_r1,full_query_trace,0.06984458863735199,0.04748251389436231,0.09220666338034167,6.657263175346971,7.645198366258089e-06,1,0,16
ablation,synthetic_2d,concentrated,dqd_r2,plain,-0.19441341422498226,-0.2077635701722583,-0.18106325827770622,-31.03951632003408,5.026419427822226e-15,16,0,16
ablation,synthetic_2d,concentrated,dqd_r2,full_query_trace,0.03142177499830723,0.015465979766515179,0.04737757023009928,4.197467256747138,0.000776867590579947,2,0,16
ablation,synthetic_2d,concentrated,dqd_r4,plain,-0.23178961500525475,-0.24170463433067865,-0.22187459567983084,-49.82823062195075,4.433520026596979e-18,16,0,16
ablation,synthetic_2d,concentrated,dqd_r4,full_query_trace,-0.005954425781965256,-0.015942022335556284,0.0040331707716257745,-1.270731958278123,0.22317913582819465,10,0,16
ablation,synthetic_2d,concentrated,dqd_r8,plain,-0.2265001218765974,-0.2339701690938559,-0.2190300746593389,-64.62791570147287,9.121238663133633e-20,16,0,16
ablation,synthetic_2d,concentrated,dqd_r8,full_query_trace,-0.0006649326533079147,-0.004186644470955226,0.002856779164339397,-0.4024379265273104,0.6930384674825729,9,0,16
ablation,synthetic_2d,concentrated,dqd_r16,plain,-0.1916633639484644,-0.20575894561922925,-0.17756778227769954,-28.98218743506159,1.383928023787189e-14,16,0,16
ablation,synthetic_2d,concentrated,dqd_r16,full_query_trace,0.034171825274825096,0.026404917511430613,0.04193873303821958,9.377673029185837,1.1557768590135185e-07,0,0,16
ablation,word,observed,dqd_r1,plain,-0.15842175856232643,-0.17696412611871257,-0.1398793910059403,-18.210618696213043,1.221346494678573e-11,16,0,16
ablation,word,observed,dqd_r1,full_query_trace,-0.0009527616202831268,-0.002054042130735824,0.00014851889016957048,-1.8440018717338966,0.08502569038722317,11,0,16
ablation,word,observed,dqd_r2,plain,-0.14628002047538757,-0.16309791273741667,-0.12946212821335848,-18.53909385961636,9.441609249806404e-12,16,0,16
ablation,word,observed,dqd_r2,full_query_trace,0.011188976466655731,0.007018340595601297,0.015359612337710165,5.718250056459088,4.068784961063231e-05,0,0,16
ablation,word,observed,dqd_r4,plain,-0.14403577521443367,-0.16169268404403764,-0.1263788663848297,-17.387244312569493,2.3736097439803197e-11,16,0,16
ablation,word,observed,dqd_r4,full_query_trace,0.013433221727609634,0.007144888331197539,0.01972155512402173,4.553230966260112,0.0003807431786324423,1,0,16
ablation,word,observed,dqd_r8,plain,-0.14588850364089012,-0.16172590394153366,-0.13005110334024658,-19.63415578850207,4.122174978598494e-12,16,0,16
ablation,word,observed,dqd_r8,full_query_trace,0.011580493301153183,0.004400444425626342,0.018760542176680023,3.4377533651934353,0.0036627453170853318,1,0,16
ablation,word,observed,dqd_r16,plain,-0.1466057151556015,-0.16157577685459742,-0.13163565345660558,-20.87384081828905,1.6964413906955683e-12,16,0,16
ablation,word,observed,dqd_r16,full_query_trace,0.010863281786441803,0.0070096948361054396,0.014716868736778167,6.008567427023591,2.395309788370594e-05,0,0,16
ablation,module,observed,dqd_r1,plain,-0.2913125082850456,-0.29899680545171253,-0.2836282111183787,-80.80347492199242,3.227457908311892e-21,16,0,16
ablation,module,observed,dqd_r1,full_query_trace,-0.002446364611387253,-0.004267313339437668,-0.0006254158833368373,-2.863508817624109,0.011838393662530543,11,0,16
ablation,module,observed,dqd_r2,plain,-0.28670181706547737,-0.2925136683501138,-0.28088996578084097,-105.14557716069878,6.256396663870213e-23,16,0,16
ablation,module,observed,dqd_r2,full_query_trace,0.0021643266081809998,-0.0017845637627396625,0.006113216979101662,1.168215000198603,0.26095291527582765,8,0,16
ablation,module,observed,dqd_r4,plain,-0.28119417279958725,-0.28944553753551716,-0.27294280806365734,-72.63661357954291,1.5896768114025596e-20,16,0,16
ablation,module,observed,dqd_r4,full_query_trace,0.007671970874071121,0.002316287822740999,0.013027653925401244,3.053283526369622,0.008049374808674271,5,0,16
ablation,module,observed,dqd_r8,plain,-0.27123909443616867,-0.28081394344015637,-0.261664245432181,-60.380319766203726,2.519576745045367e-19,16,0,16
ablation,module,observed,dqd_r8,full_query_trace,0.0176270492374897,0.012387602186414843,0.022866496288564558,7.170826562526597,3.22448252482309e-06,0,0,16
ablation,module,observed,dqd_r16,plain,-0.2546028569340706,-0.26541756799445204,-0.24378814587368913,-50.17916250192351,3.992878995954504e-18,16,0,16
ablation,module,observed,dqd_r16,full_query_trace,0.034263286739587784,0.024453711347318247,0.04407286213185732,7.444814278915174,2.063980927140011e-06,0,0,16
