condition,method,mean,std,se,ci_low,ci_high,gain_vs_plain_percent,eta,beta,rank,grid_size,elapsed_seconds
observed,plain,0.1699702963232994,0.0029692250345905793,0.0007423062586476448,0.16838810798563905,0.17155248466095976,0.0,0.1,0.0,4,3,28.91991969999981
observed,write_trace,0.16780488099902868,0.0041473428956520526,0.0010368357239130131,0.16559491796647463,0.17001484403158273,1.2739963223644104,0.05,3.0,2,36,87.4352228000007
observed,dqd,0.16549128200858831,0.0031434674765920554,0.0007858668691480138,0.16381624642747264,0.167166317589704,2.635174740292027,0.02,10.0,1,36,90.12620319999951
observed,full_query_trace,0.16551685333251953,0.0032417545840326164,0.0008104386460081541,0.16378944424878175,0.1672442624162573,2.620130156335676,0.02,10.0,4,12,47.688646399999925
uniform,plain,0.16368543077260256,0.0022371922112336333,0.0005592980528084083,0.16249331519211185,0.16487754635309326,0.0,0.1,0.0,4,3,32.6914297000003
uniform,write_trace,0.16163648292422295,0.003056549753201117,0.0007641374383002792,0.16000776252861296,0.16326520331983294,1.2517594502506952,0.1,1.0,2,36,95.72842990000026
uniform,dqd,0.16166770178824663,0.0030823945788761705,0.0007705986447190426,0.16002520965715158,0.16331019391934168,1.2326869745414455,0.1,1.0,2,36,91.79559690000133
uniform,full_query_trace,0.16171911731362343,0.0030899384530911397,0.0007724846132727849,0.16007260533571158,0.16336562929153528,1.2012757944907144,0.1,1.0,4,12,59.13162490000104
