condition,method,comparator,mean_difference,ci_low,ci_high,t_stat,p_value,wins,ties,n
ordered,dqd,plain,-0.004510501399636269,-0.005434637201844271,-0.003586365597428266,-10.403131374771188,2.96351368417612e-08,16,0,16
ordered,dqd,write_trace,-0.0024031056091189384,-0.0034468447978892747,-0.001359366420348602,-4.907450456585935,0.0001895734417709784,14,0,16
ordered,dqd,full_query_trace,8.628983050584793e-05,-0.00024047874013729262,0.0004130584011489885,0.5628522340936507,0.5818512998172842,7,0,16
shuffled,dqd,plain,-0.004229128360748291,-0.005270942114272162,-0.00318731460722442,-8.652385027687625,3.236869722725432e-07,16,0,16
shuffled,dqd,write_trace,-0.002121732570230961,-0.0031261381237952003,-0.0011173270166667216,-4.502529786468327,0.0004211690100944583,14,0,16
shuffled,dqd,full_query_trace,0.00029325857758522034,-1.6120061495645383e-06,0.0005881291613200053,2.11979728194113,0.05111255749234138,4,0,16
