suite,task,condition,method,mean,std,se,ci_low,ci_high,gain_vs_plain_percent,eta,beta,rank,grid_size,elapsed_seconds
robustness,synthetic_2d,concentrated,plain,0.7305148392915726,0.04500475689764917,0.011251189224412293,0.706533497132197,0.7544961814509481,0.0,0.1,0.0,4,5,13.587257862091064
robustness,synthetic_2d,concentrated,write_trace,0.7347371987998486,0.05341660395235283,0.013354150988088207,0.7062734997449573,0.7632008978547398,-0.5779977737852225,0.1,1.0,8,75,43.77292490005493
robustness,synthetic_2d,concentrated,dqd,0.5040147174149752,0.04553270065477817,0.011383175163694543,0.47975205388529624,0.528277380944654,31.005547005211994,0.02,30.0,8,75,48.802746534347534
robustness,synthetic_2d,concentrated,full_query_trace,0.5046796500682831,0.04666840965277873,0.011667102413194682,0.4798118099316852,0.529547490204881,30.91452453481937,0.02,30.0,4,25,28.824045419692993
robustness,synthetic_2d,uniform,plain,0.7213937416672707,0.004599433817571079,0.0011498584543927699,0.7189428763871977,0.7238446069473436,0.0,0.1,0.0,4,5,13.099855899810791
robustness,synthetic_2d,uniform,write_trace,0.7242101989686489,0.005124331318088587,0.0012810828295221467,0.7214796355538401,0.7269407623834577,-0.39041887095789196,0.1,1.0,2,75,39.73440766334534
robustness,synthetic_2d,uniform,dqd,0.7240003310143948,0.005059538032922777,0.0012648845082306943,0.7213042935041414,0.7266963685246481,-0.3613268589078418,0.1,1.0,2,75,39.515597105026245
robustness,synthetic_2d,uniform,full_query_trace,0.7221803739666939,0.00438812168361781,0.0010970304209044525,0.7198421089745923,0.7245186389587954,-0.10904340500725292,0.05,1.0,4,25,21.04033327102661
robustness,synthetic_2d,moving_hotspot,plain,0.7528140507638454,0.024142811886497976,0.006035702971624494,0.7399492544078453,0.7656788471198456,0.0,0.05,0.0,4,5,12.63405990600586
robustness,synthetic_2d,moving_hotspot,write_trace,0.7629959359765053,0.03457548366549784,0.00864387091637446,0.7445719612399255,0.781419910713085,-1.352509986008995,0.02,3.0,8,75,39.43568015098572
robustness,synthetic_2d,moving_hotspot,dqd,0.5599968619644642,0.03899135229858016,0.00974783807464504,0.5392198369300761,0.5807738869988522,25.612857332264007,0.02,30.0,4,75,40.68902516365051
robustness,synthetic_2d,moving_hotspot,full_query_trace,0.5814008489251137,0.04838377213385606,0.012095943033464014,0.5556189566433254,0.607182741206902,22.76966027198971,0.02,30.0,4,25,21.158004760742188
robustness,word,alpha_0.00,plain,0.8027874939143658,0.0038332736047629427,0.0009583184011907357,0.8007448865936466,0.8048301012350849,0.0,0.05,0.0,4,5,36.7371039390564
robustness,word,alpha_0.00,write_trace,0.8061321340501308,0.004466712675468063,0.0011166781688670157,0.8037519908745632,0.8085122772256985,-0.4166283307998134,0.05,1.0,2,75,119.36965751647949
robustness,word,alpha_0.00,dqd,0.8063875809311867,0.00460651160926782,0.001151627902316955,0.8039329441621398,0.8088422177002336,-0.4484483184045382,0.05,1.0,8,75,119.32112264633179
robustness,word,alpha_0.00,full_query_trace,0.8060406818985939,0.004418896229323497,0.0011047240573308743,0.8036860183086275,0.8083953454885603,-0.4052365051634892,0.05,1.0,4,25,64.15354704856873
