suite,task,condition,method,comparator,mean_difference,ci_low,ci_high,t_stat,p_value,wins,ties,n
robustness,synthetic_2d,concentrated,dqd,plain,-0.2265001218765974,-0.2339701690938559,-0.2190300746593389,-64.62791570147287,9.121238663133633e-20,16,0,16
robustness,synthetic_2d,concentrated,dqd,write_trace,-0.2307224813848734,-0.2400964743514593,-0.22134848841828747,-52.46145691073787,2.0562586334640954e-18,16,0,16
robustness,synthetic_2d,concentrated,dqd,full_query_trace,-0.0006649326533079147,-0.004186644470955226,0.002856779164339397,-0.4024379265273104,0.6930384674825729,9,0,16
robustness,synthetic_2d,uniform,dqd,plain,0.0026065893471240997,0.0019430290524292322,0.0032701496418189673,8.372733757287612,4.892754598327465e-07,0,0,16
robustness,synthetic_2d,uniform,dqd,write_trace,-0.0002098679542541504,-0.000836859766265773,0.0004171238577574722,-0.7134430580318035,0.48652445463918637,8,0,16
robustness,synthetic_2d,uniform,dqd,full_query_trace,0.001819957047700882,0.0009499593492195742,0.00268995474618219,4.458801016406225,0.00045956049557839703,1,0,16
robustness,synthetic_2d,moving_hotspot,dqd,plain,-0.19281718879938126,-0.20689433314396588,-0.17874004445479663,-29.19484942275019,1.2424193646713198e-14,16,0,16
robustness,synthetic_2d,moving_hotspot,dqd,write_trace,-0.2029990740120411,-0.22495842854011389,-0.1810397194839683,-19.70377970348757,3.91630986335213e-12,16,0,16
robustness,synthetic_2d,moving_hotspot,dqd,full_query_trace,-0.02140398696064949,-0.032854289216727756,-0.009953684704571225,-3.9843068995158055,0.0011969271668570722,13,0,16
robustness,word,alpha_0.00,dqd,plain,0.0036000870168209076,0.002823548967298857,0.004376625066342958,9.881555502270395,5.843645840663197e-08,0,0,16
robustness,word,alpha_0.00,dqd,write_trace,0.0002554468810558319,-0.00013778734473501793,0.0006486811068466818,1.3846000750468466,0.18642654931034447,7,0,16
robustness,word,alpha_0.00,dqd,full_query_trace,0.00034689903259277344,0.00010751852284669286,0.000586279542338854,3.0887969373911903,0.0074865832220342675,3,0,16
