suite,task,condition,method,comparator,mean_difference,ci_low,ci_high,t_stat,p_value,wins,ties,n
main,synthetic_2d,concentrated,dqd,plain,-0.11254280805587769,-0.6328444766251918,0.40775886051343646,-2.7483901112657283,0.22215427366022783,2,0,2
main,synthetic_2d,concentrated,dqd,write_diag,-0.06380307674407959,-0.42194727481727873,0.29434112132911955,-2.2635992996286682,0.2648289963515149,2,0,2
main,synthetic_2d,concentrated,dqd,write_trace,-0.08743450045585632,-0.18509879618221337,0.010229795270500719,-11.375300006591422,0.05582159371302399,2,0,2
main,synthetic_2d,concentrated,dqd,full_query_trace,0.09789428114891052,-0.042741229261719554,0.2385297915595406,8.844599597726374,0.07167398354277203,0,0,2
main,synthetic_2d,concentrated,dqd,query_moment_reference,0.12778165936470032,-0.239879762651993,0.49544308138139365,4.416073670560924,0.14176876872890531,0,0,2
