suite,task,condition,method,mean,std,se,ci_low,ci_high,gain_vs_plain_percent,eta,beta,rank,grid_size,elapsed_seconds
main,synthetic_2d,concentrated,plain,0.8736777305603027,0.02359953776779596,0.01668739318847656,0.6616442961901772,1.0857111649304283,0.0,0.1,0.0,4,2,0.05639147758483887
main,synthetic_2d,concentrated,write_diag,0.8249379992485046,0.04164782982452505,0.029449462890625,0.450747094382264,1.1991289041147453,5.578685321478959,0.1,1.0,4,4,0.05202960968017578
main,synthetic_2d,concentrated,write_trace,0.8485694229602814,0.07063950895025925,0.04994967579841613,0.2138986157471987,1.483240230173364,2.8738637511017964,0.05,10.0,8,12,0.11293458938598633
main,synthetic_2d,concentrated,dqd,0.761134922504425,0.08150964479655244,0.057636022567749016,0.02879981956498534,1.4934700254438646,12.881501281222114,0.05,10.0,8,12,0.12350821495056152
main,synthetic_2d,concentrated,full_query_trace,0.6632406413555145,0.09716252071816488,0.0687042772769928,-0.20972997199455534,1.5362112547055844,24.08635150512898,0.1,10.0,4,4,0.07499814033508301
main,synthetic_2d,concentrated,query_moment_reference,0.6333532631397247,0.12243073651220415,0.086571604013443,-0.46664326181640847,1.733349788095858,27.50722137171269,0.1,10.0,4,4,0.061554670333862305
main,synthetic_2d,concentrated,weighted_linear_reference,0.18593470692082048,0.05267759528685536,0.03724868484393594,-0.2873547088690648,0.6592241227107057,78.71815883396985,0.0,0.0,4,1,0.008000850677490234
