condition,method,comparator,mean_difference,ci_low,ci_high,t_stat,p_value,wins,ties,n
observed,dqd,plain,-0.018590189516544342,-0.0661889001581438,0.02900852112505512,-4.962545222387742,0.1265896636474581,2,0,2
observed,dqd,write_trace,-0.006590753793716431,-0.05063475308117727,0.03745324549374441,-1.9013592867398614,0.3082406227683762,2,0,2
observed,dqd,full_query_trace,6.703287363052368e-05,-0.004426791017008536,0.004560856764269584,0.18953422233457629,0.8807532485280842,1,0,2
